Chegada,Sentido,local,Mercadoria,Peso
,Exp,paranagua,OLEO DE SOJA,11.071
,Exp,paranagua,OLEO DE SOJA,20.0
,Exp,paranagua,MILHO,70.0
,Exp,paranagua,PASTA QUIM.MADEIRA DE N/CONIF.,16.0
,Imp,paranagua,DAP - Fosfato Diamonico,14.999
,Imp,paranagua,FERTILIZ.MINER.QUIM.C/NITROGEN,14.999
,Imp,paranagua,METILATO DE SODIO,1.8
,Imp,paranagua,METANOL,7.324
,Exp,paranagua,OLEO DE SOJA,12.0
,Exp,paranagua,SOJA,63.0
,Exp,paranagua,OLEO DE SOJA,13.0
,Imp,paranagua,CEVADA CERVEJEIRA,30.0
,Imp/Exp,paranagua,PASSAGEIROS,0.0
,Exp,paranagua,AÇÚCAR,50.0
,Exp,paranagua,MILHO,71.5
,Imp,paranagua,CLORETOS DE POTASSIO,58.606
,Imp,paranagua,SULFATO DE AMONIO,68.0
,Exp,paranagua,FARELO DE SOJA,62.0
,Exp,paranagua,AÇÚCAR,57.75
,Exp,paranagua,MILHO,70.2
,Exp,paranagua,SOJA,66.0
,Exp,paranagua,AÇÚCAR,50.0
,Exp,paranagua,SOJA,68.638
